unit,sex,age,region,year,value
YR,F,Y65,BE,2021,22.2
YR,F,Y65,PT,2021,21.7
YR,F,Y_LT1,BE,2021,84.4
YR,F,Y_LT1,PT,2021,84.3
YR,M,Y65,BE,2021,18.6
YR,M,Y65,PT,2021,17.8
YR,M,Y_LT1,BE,2021,79.5
YR,M,Y_LT1,PT,2021,78.0
YR,T,Y65,BE,2021,20.4
YR,T,Y65,PT,2021,19.9
YR,T,Y_LT1,BE,2021,81.9
YR,T,Y_LT1,PT,2021,81.2
YR,F,Y1,BE,2020,82.3
YR,F,Y1,PT,2020,83.3
YR,F,Y10,BE,2020,73.3
YR,F,Y10,PT,2020,74.4
YR,F,Y11,BE,2020,72.3
YR,F,Y11,PT,2020,73.4
YR,F,Y12,BE,2020,71.4
YR,F,Y12,PT,2020,72.4
YR,F,Y13,BE,2020,70.4
YR,F,Y13,PT,2020,71.4
YR,F,Y14,BE,2020,69.4
YR,F,Y14,PT,2020,70.4
YR,F,Y15,BE,2020,68.4
YR,F,Y15,PT,2020,69.4
YR,F,Y16,BE,2020,67.4
YR,F,Y16,PT,2020,68.4
YR,F,Y17,BE,2020,66.4
YR,F,Y17,PT,2020,67.4
YR,F,Y18,BE,2020,65.4
YR,F,Y18,PT,2020,66.4
YR,F,Y19,BE,2020,64.4
YR,F,Y19,PT,2020,65.4
YR,F,Y2,BE,2020,81.3
YR,F,Y2,PT,2020,82.3
YR,F,Y20,BE,2020,63.4
YR,F,Y20,PT,2020,64.4
YR,F,Y21,BE,2020,62.4
YR,F,Y21,PT,2020,63.5
YR,F,Y22,BE,2020,61.5
YR,F,Y22,PT,2020,62.5
YR,F,Y23,BE,2020,60.5
YR,F,Y23,PT,2020,61.5
YR,F,Y24,BE,2020,59.5
YR,F,Y24,PT,2020,60.5
YR,F,Y25,BE,2020,58.5
YR,F,Y25,PT,2020,59.5
YR,F,Y26,BE,2020,57.5
YR,F,Y26,PT,2020,58.5
YR,F,Y27,BE,2020,56.5
YR,F,Y27,PT,2020,57.5
YR,F,Y28,BE,2020,55.5
YR,F,Y28,PT,2020,56.5
YR,F,Y29,BE,2020,54.5
YR,F,Y29,PT,2020,55.6
YR,F,Y3,BE,2020,80.3
YR,F,Y3,PT,2020,81.3
YR,F,Y30,BE,2020,53.5
YR,F,Y30,PT,2020,54.6
YR,F,Y31,BE,2020,52.6
YR,F,Y31,PT,2020,53.6
YR,F,Y32,BE,2020,51.6
YR,F,Y32,PT,2020,52.6
YR,F,Y33,BE,2020,50.6
YR,F,Y33,PT,2020,51.6
YR,F,Y34,BE,2020,49.6
YR,F,Y34,PT,2020,50.6
YR,F,Y35,BE,2020,48.6
YR,F,Y35,PT,2020,49.7
YR,F,Y36,BE,2020,47.6
YR,F,Y36,PT,2020,48.7
YR,F,Y37,BE,2020,46.7
YR,F,Y37,PT,2020,47.7
YR,F,Y38,BE,2020,45.7
YR,F,Y38,PT,2020,46.7
YR,F,Y39,BE,2020,44.7
YR,F,Y39,PT,2020,45.8
YR,F,Y4,BE,2020,79.3
YR,F,Y4,PT,2020,80.3
YR,F,Y40,BE,2020,43.8
YR,F,Y40,PT,2020,44.8
YR,F,Y41,BE,2020,42.8
YR,F,Y41,PT,2020,43.8
YR,F,Y42,BE,2020,41.8
YR,F,Y42,PT,2020,42.9
YR,F,Y43,BE,2020,40.9
YR,F,Y43,PT,2020,41.9
YR,F,Y44,BE,2020,39.9
YR,F,Y44,PT,2020,40.9
YR,F,Y45,BE,2020,38.9
YR,F,Y45,PT,2020,40.0
YR,F,Y46,BE,2020,38.0
YR,F,Y46,PT,2020,39.0
YR,F,Y47,BE,2020,37.0
YR,F,Y47,PT,2020,38.1
YR,F,Y48,BE,2020,36.1
YR,F,Y48,PT,2020,37.1
YR,F,Y49,BE,2020,35.1
YR,F,Y49,PT,2020,36.2
YR,F,Y5,BE,2020,78.3
YR,F,Y5,PT,2020,79.3
YR,F,Y50,BE,2020,34.2
YR,F,Y50,PT,2020,35.2
YR,F,Y51,BE,2020,33.3
YR,F,Y51,PT,2020,34.3
YR,F,Y52,BE,2020,32.3
YR,F,Y52,PT,2020,33.4
YR,F,Y53,BE,2020,31.4
YR,F,Y53,PT,2020,32.4
YR,F,Y54,BE,2020,30.5
YR,F,Y54,PT,2020,31.5
YR,F,Y55,BE,2020,29.6
YR,F,Y55,PT,2020,30.6
YR,F,Y56,BE,2020,28.7
YR,F,Y56,PT,2020,29.7
YR,F,Y57,BE,2020,27.8
YR,F,Y57,PT,2020,28.8
YR,F,Y58,BE,2020,26.9
YR,F,Y58,PT,2020,27.9
YR,F,Y59,BE,2020,26.0
YR,F,Y59,PT,2020,26.9
YR,F,Y6,BE,2020,77.3
YR,F,Y6,PT,2020,78.3
YR,F,Y60,BE,2020,25.1
YR,F,Y60,PT,2020,26.0
YR,F,Y61,BE,2020,24.2
YR,F,Y61,PT,2020,25.1
YR,F,Y62,BE,2020,23.3
YR,F,Y62,PT,2020,24.2
YR,F,Y63,BE,2020,22.4
YR,F,Y63,PT,2020,23.3
YR,F,Y64,BE,2020,21.6
YR,F,Y64,PT,2020,22.5
YR,F,Y65,BE,2020,20.8
YR,F,Y65,PT,2020,21.6
YR,F,Y66,BE,2020,19.9
YR,F,Y66,PT,2020,20.7
YR,F,Y67,BE,2020,19.1
YR,F,Y67,PT,2020,19.8
YR,F,Y68,BE,2020,18.3
YR,F,Y68,PT,2020,19.0
YR,F,Y69,BE,2020,17.5
YR,F,Y69,PT,2020,18.1
YR,F,Y7,BE,2020,76.3
YR,F,Y7,PT,2020,77.3
YR,F,Y70,BE,2020,16.7
YR,F,Y70,PT,2020,17.3
YR,F,Y71,BE,2020,15.9
YR,F,Y71,PT,2020,16.4
YR,F,Y72,BE,2020,15.1
YR,F,Y72,PT,2020,15.6
YR,F,Y73,BE,2020,14.3
YR,F,Y73,PT,2020,14.8
YR,F,Y74,BE,2020,13.5
YR,F,Y74,PT,2020,14.0
YR,F,Y75,BE,2020,12.8
YR,F,Y75,PT,2020,13.2
YR,F,Y76,BE,2020,12.1
YR,F,Y76,PT,2020,12.5
YR,F,Y77,BE,2020,11.3
YR,F,Y77,PT,2020,11.7
YR,F,Y78,BE,2020,10.6
YR,F,Y78,PT,2020,11.0
YR,F,Y79,BE,2020,10.0
YR,F,Y79,PT,2020,10.3
YR,F,Y8,BE,2020,75.3
YR,F,Y8,PT,2020,76.4
YR,F,Y80,BE,2020,9.3
YR,F,Y80,PT,2020,9.6
YR,F,Y81,BE,2020,8.6
YR,F,Y81,PT,2020,8.9
YR,F,Y82,BE,2020,8.0
YR,F,Y82,PT,2020,8.3
YR,F,Y83,BE,2020,7.4
YR,F,Y83,PT,2020,7.7
YR,F,Y84,BE,2020,6.8
YR,F,Y84,PT,2020,7.2
YR,F,Y9,BE,2020,74.3
YR,F,Y9,PT,2020,75.4
YR,F,Y_GE85,BE,2020,6.3
YR,F,Y_GE85,PT,2020,6.6
YR,F,Y_LT1,BE,2020,83.0
YR,F,Y_LT1,PT,2020,84.1
YR,M,Y1,BE,2020,77.8
YR,M,Y1,PT,2020,77.2
YR,M,Y10,BE,2020,68.9
YR,M,Y10,PT,2020,68.3
YR,M,Y11,BE,2020,67.9
YR,M,Y11,PT,2020,67.3
YR,M,Y12,BE,2020,66.9
YR,M,Y12,PT,2020,66.3
YR,M,Y13,BE,2020,65.9
YR,M,Y13,PT,2020,65.3
YR,M,Y14,BE,2020,64.9
YR,M,Y14,PT,2020,64.3
YR,M,Y15,BE,2020,63.9
YR,M,Y15,PT,2020,63.3
YR,M,Y16,BE,2020,62.9
YR,M,Y16,PT,2020,62.3
YR,M,Y17,BE,2020,61.9
YR,M,Y17,PT,2020,61.3
YR,M,Y18,BE,2020,60.9
YR,M,Y18,PT,2020,60.3
YR,M,Y19,BE,2020,59.9
YR,M,Y19,PT,2020,59.3
YR,M,Y2,BE,2020,76.8
YR,M,Y2,PT,2020,76.2
YR,M,Y20,BE,2020,59.0
YR,M,Y20,PT,2020,58.4
YR,M,Y21,BE,2020,58.0
YR,M,Y21,PT,2020,57.4
YR,M,Y22,BE,2020,57.0
YR,M,Y22,PT,2020,56.4
YR,M,Y23,BE,2020,56.1
YR,M,Y23,PT,2020,55.5
YR,M,Y24,BE,2020,55.1
YR,M,Y24,PT,2020,54.5
YR,M,Y25,BE,2020,54.1
YR,M,Y25,PT,2020,53.5
YR,M,Y26,BE,2020,53.1
YR,M,Y26,PT,2020,52.5
YR,M,Y27,BE,2020,52.2
YR,M,Y27,PT,2020,51.6
YR,M,Y28,BE,2020,51.2
YR,M,Y28,PT,2020,50.6
YR,M,Y29,BE,2020,50.2
YR,M,Y29,PT,2020,49.7
YR,M,Y3,BE,2020,75.8
YR,M,Y3,PT,2020,75.2
YR,M,Y30,BE,2020,49.3
YR,M,Y30,PT,2020,48.7
YR,M,Y31,BE,2020,48.3
YR,M,Y31,PT,2020,47.7
YR,M,Y32,BE,2020,47.3
YR,M,Y32,PT,2020,46.7
YR,M,Y33,BE,2020,46.4
YR,M,Y33,PT,2020,45.8
YR,M,Y34,BE,2020,45.4
YR,M,Y34,PT,2020,44.8
YR,M,Y35,BE,2020,44.4
YR,M,Y35,PT,2020,43.9
YR,M,Y36,BE,2020,43.5
YR,M,Y36,PT,2020,42.9
YR,M,Y37,BE,2020,42.5
YR,M,Y37,PT,2020,41.9
YR,M,Y38,BE,2020,41.6
YR,M,Y38,PT,2020,41.0
YR,M,Y39,BE,2020,40.6
YR,M,Y39,PT,2020,40.0
YR,M,Y4,BE,2020,74.8
YR,M,Y4,PT,2020,74.2
YR,M,Y40,BE,2020,39.7
YR,M,Y40,PT,2020,39.1
YR,M,Y41,BE,2020,38.7
YR,M,Y41,PT,2020,38.1
YR,M,Y42,BE,2020,37.8
YR,M,Y42,PT,2020,37.2
YR,M,Y43,BE,2020,36.8
YR,M,Y43,PT,2020,36.3
YR,M,Y44,BE,2020,35.9
YR,M,Y44,PT,2020,35.3
YR,M,Y45,BE,2020,34.9
YR,M,Y45,PT,2020,34.4
YR,M,Y46,BE,2020,34.0
YR,M,Y46,PT,2020,33.5
YR,M,Y47,BE,2020,33.1
YR,M,Y47,PT,2020,32.6
YR,M,Y48,BE,2020,32.2
YR,M,Y48,PT,2020,31.7
YR,M,Y49,BE,2020,31.2
YR,M,Y49,PT,2020,30.8
YR,M,Y5,BE,2020,73.8
YR,M,Y5,PT,2020,73.2
YR,M,Y50,BE,2020,30.3
YR,M,Y50,PT,2020,29.9
YR,M,Y51,BE,2020,29.4
YR,M,Y51,PT,2020,29.0
YR,M,Y52,BE,2020,28.5
YR,M,Y52,PT,2020,28.1
YR,M,Y53,BE,2020,27.6
YR,M,Y53,PT,2020,27.3
YR,M,Y54,BE,2020,26.7
YR,M,Y54,PT,2020,26.5
YR,M,Y55,BE,2020,25.9
YR,M,Y55,PT,2020,25.6
YR,M,Y56,BE,2020,25.0
YR,M,Y56,PT,2020,24.8
YR,M,Y57,BE,2020,24.1
YR,M,Y57,PT,2020,24.0
YR,M,Y58,BE,2020,23.3
YR,M,Y58,PT,2020,23.2
YR,M,Y59,BE,2020,22.4
YR,M,Y59,PT,2020,22.4
YR,M,Y6,BE,2020,72.9
YR,M,Y6,PT,2020,72.2
YR,M,Y60,BE,2020,21.6
YR,M,Y60,PT,2020,21.6
YR,M,Y61,BE,2020,20.8
YR,M,Y61,PT,2020,20.8
YR,M,Y62,BE,2020,20.0
YR,M,Y62,PT,2020,20.1
YR,M,Y63,BE,2020,19.2
YR,M,Y63,PT,2020,19.3
YR,M,Y64,BE,2020,18.4
YR,M,Y64,PT,2020,18.6
YR,M,Y65,BE,2020,17.6
YR,M,Y65,PT,2020,17.8
YR,M,Y66,BE,2020,16.9
YR,M,Y66,PT,2020,17.1
YR,M,Y67,BE,2020,16.1
YR,M,Y67,PT,2020,16.4
YR,M,Y68,BE,2020,15.4
YR,M,Y68,PT,2020,15.7
YR,M,Y69,BE,2020,14.7
YR,M,Y69,PT,2020,14.9
YR,M,Y7,BE,2020,71.9
YR,M,Y7,PT,2020,71.2
YR,M,Y70,BE,2020,14.0
YR,M,Y70,PT,2020,14.2
YR,M,Y71,BE,2020,13.3
YR,M,Y71,PT,2020,13.5
YR,M,Y72,BE,2020,12.6
YR,M,Y72,PT,2020,12.8
YR,M,Y73,BE,2020,12.0
YR,M,Y73,PT,2020,12.2
YR,M,Y74,BE,2020,11.3
YR,M,Y74,PT,2020,11.5
YR,M,Y75,BE,2020,10.7
YR,M,Y75,PT,2020,10.9
YR,M,Y76,BE,2020,10.1
YR,M,Y76,PT,2020,10.2
YR,M,Y77,BE,2020,9.5
YR,M,Y77,PT,2020,9.6
YR,M,Y78,BE,2020,8.9
YR,M,Y78,PT,2020,9.0
YR,M,Y79,BE,2020,8.3
YR,M,Y79,PT,2020,8.4
YR,M,Y8,BE,2020,70.9
YR,M,Y8,PT,2020,70.2
YR,M,Y80,BE,2020,7.8
YR,M,Y80,PT,2020,7.9
YR,M,Y81,BE,2020,7.2
YR,M,Y81,PT,2020,7.3
YR,M,Y82,BE,2020,6.7
YR,M,Y82,PT,2020,6.8
YR,M,Y83,BE,2020,6.2
YR,M,Y83,PT,2020,6.3
YR,M,Y84,BE,2020,5.8
YR,M,Y84,PT,2020,5.8
YR,M,Y9,BE,2020,69.9
YR,M,Y9,PT,2020,69.3
YR,M,Y_GE85,BE,2020,5.3
YR,M,Y_GE85,PT,2020,5.4
YR,M,Y_LT1,BE,2020,78.5
YR,M,Y_LT1,PT,2020,78.0
YR,T,Y1,BE,2020,80.0
YR,T,Y1,PT,2020,80.3
YR,T,Y10,BE,2020,71.1
YR,T,Y10,PT,2020,71.4
YR,T,Y11,BE,2020,70.1
YR,T,Y11,PT,2020,70.4
YR,T,Y12,BE,2020,69.1
YR,T,Y12,PT,2020,69.4
YR,T,Y13,BE,2020,68.1
YR,T,Y13,PT,2020,68.4
YR,T,Y14,BE,2020,67.1
YR,T,Y14,PT,2020,67.4
YR,T,Y15,BE,2020,66.1
YR,T,Y15,PT,2020,66.4
YR,T,Y16,BE,2020,65.2
YR,T,Y16,PT,2020,65.4
YR,T,Y17,BE,2020,64.2
YR,T,Y17,PT,2020,64.5
YR,T,Y18,BE,2020,63.2
YR,T,Y18,PT,2020,63.5
YR,T,Y19,BE,2020,62.2
YR,T,Y19,PT,2020,62.5
YR,T,Y2,BE,2020,79.1
YR,T,Y2,PT,2020,79.3
YR,T,Y20,BE,2020,61.2
YR,T,Y20,PT,2020,61.5
YR,T,Y21,BE,2020,60.2
YR,T,Y21,PT,2020,60.5
YR,T,Y22,BE,2020,59.2
YR,T,Y22,PT,2020,59.5
YR,T,Y23,BE,2020,58.3
YR,T,Y23,PT,2020,58.6
YR,T,Y24,BE,2020,57.3
